; Some pipe(|) separated metadata about all LibriVox readers, whose work was used
; in the corpus.
;
; The meaning of the fields in left-to-right order is as follows:
;
; reader_id: the ID of the reader in the LibriVox's database
; gender: 'F' for female, 'M' for male
; subset: the corpus subset to which the reader's audio is assigned
; duration: total number of minutes of speech by the reader, included in the corpus
; name: the name under which the reader is registered in LibriVox
;
;ID  |SEX| SUBSET           |MINUTES| NAME
60   | M | train-clean-100  | 20.18 | |CBW|Simon
61   | M | test-clean       | 8.08  | Paul-Gabriel Wiener
62   | M | train-other-500  | 17.80 | Faris
64   | F | train-clean-360  | 23.51 | Robin Cotter
65   | F | train-other-500  | 27.32 | chriss the girl
66   | M | train-other-500  | 30.22 | Alex Foster
70   | M | train-clean-360  | 21.61 | Kurt Copeland
75   | M | train-other-500  | 30.10 | Jim Mowatt
77   | F | train-other-500  | 30.10 | JemmaBlythe
78   | M | train-clean-100  | 25.05 | Hugh McGuire
79   | F | train-clean-360  | 25.01 | Jennifer Crispin
81   | M | train-clean-360  | 25.22 | Aaron Decker
82   | F | train-other-500  | 30.15 | Marlo Dianne
83   | F | train-clean-100  | 25.04 | Catharine Eastman
84   | F | dev-clean        | 8.02  | Christie Nowak
85   | M | train-other-500  | 30.02 | David Leaman
87   | F | train-clean-100  | 25.10 | Rosalind Wills
89   | F | train-clean-100  | 25.08 | Kristen McQuillin
90   | M | train-clean-360  | 25.17 | Dan Threetrees
91   | M | train-other-500  | 30.05 | Stephan Mobius
92   | F | train-other-500  | 26.78 | Cori Samuel
93   | F | train-clean-360  | 25.02 | Kathy
94   | M | train-other-500  | 30.11 | David Barnes
98   | F | train-clean-360  | 25.03 | Patricia Oakley
100  | F | train-clean-360  | 25.06 | Judy Bieber
101  | M | train-clean-360  | 25.04 | paulino
102  | F | train-other-500  | 30.18 | Linda Leu
103  | F | train-clean-100  | 23.72 | Karen Savage
104  | F | train-other-500  | 30.21 | Laura M.D.
107  | M | train-other-500  | 18.64 | John Greenman
110  | F | train-other-500  | 30.07 | Cynthia Lyons (1946-2011)
111  | F | train-other-500  | 22.36 | Linda Wilcox
112  | F | train-clean-360  | 25.23 | Christiane Levesque
114  | F | train-clean-360  | 25.03 | Jen Kidd
115  | F | train-clean-360  | 25.02 | Maddie
116  | M | dev-other        | 10.02 | Steven Collins
118  | M | train-clean-100  | 25.05 | Alex Buie
119  | M | train-clean-360  | 25.11 | Alex Patterson
121  | F | test-clean       | 8.01  | Nikolle Doolin
122  | M | train-clean-360  | 25.15 | J.C.
123  | F | train-other-500  | 30.01 | Ezwa
125  | F | train-clean-100  | 25.18 | Claire Goget
126  | F | train-clean-360  | 25.15 | Susan Denney
127  | M | train-other-500  | 29.49 | John Hicken
128  | M | train-other-500  | 25.63 | ML Cohen
133  | M | train-other-500  | 13.89 | Mick
147  | M | train-other-500  | 10.79 | Thomas Hoover
149  | M | train-other-500  | 17.69 | Joshua Young
150  | F | train-clean-100  | 25.13 | Fox in the Stars
151  | F | train-other-500  | 10.54 | Gwen
152  | M | train-other-500  | 28.67 | Andy Minter
153  | M | train-other-500  | 30.16 | Graham Williams
154  | M | train-clean-360  | 25.13 | Robert Foster
157  | M | train-clean-360  | 22.96 | Ben Douglas
159  | M | train-clean-360  | 25.03 | hugh mac
161  | M | train-other-500  | 30.09 | Cyril Law, Jr.
163  | M | train-clean-100  | 25.06 | Andrew Miller
166  | F | train-clean-360  | 25.16 | Paula Berinstein
167  | M | train-other-500  | 21.75 | Peter Yearsley
168  | M | train-other-500  | 28.32 | Chris Goringe
173  | F | train-other-500  | 11.25 | vlooi
174  | M | dev-clean        | 8.04  | Peter Eastman
175  | F | train-clean-360  | 25.03 | Meredith Hughes
176  | M | train-clean-360  | 25.20 | Vinny Bove
177  | F | train-other-500  | 26.69 | Kymm Zuckert
188  | F | train-clean-360  | 25.26 | Mary Anderson
192  | F | train-clean-360  | 25.19 | Deborah Clark
196  | M | train-clean-100  | 25.24 | Stewart Wills
198  | F | train-clean-100  | 25.02 | Heather Barnett
199  | F | train-other-500  | 7.08  | Maria Morabe
200  | F | train-clean-100  | 25.14 | Maureen S. O'Brien
201  | M | train-clean-100  | 25.19 | Joplin James
202  | F | train-other-500  | 30.04 | Geetu Melwani
203  | F | train-clean-360  | 25.01 | Marian Brown
204  | M | train-clean-360  | 25.18 | Mark F. Smith
205  | F | train-clean-360  | 25.07 | Esther
207  | M | train-clean-360  | 25.00 | Kevin McAsh
208  | F | train-clean-360  | 13.28 | Andrea L
209  | F | train-clean-360  | 25.08 | Moira Fogarty
210  | M | train-clean-360  | 25.12 | Aldark
211  | F | train-clean-100  | 25.22 | shanda_w
215  | F | train-other-500  | 29.09 | Alice Elizabeth Still
216  | M | train-clean-360  | 25.08 | Thomas Davoren
217  | F | train-clean-360  | 17.71 | firefly
218  | M | train-other-500  | 14.46 | Kelly Clear
224  | F | train-clean-360  | 25.20 | Caitlin Kelly
225  | F | train-clean-360  | 25.17 | Brenda Dayne
226  | F | train-clean-100  | 25.21 | Deb Bacon-Ziegler
227  | F | train-clean-360  | 25.16 | Sarah Key-DeLyria
228  | F | train-other-500  | 28.84 | Arctura
229  | M | train-clean-100  | 19.56 | carnright
231  | M | train-clean-360  | 22.19 | Sean McGaughey
233  | M | train-clean-100  | 24.72 | Steve Karafit
237  | F | test-clean       | 8.02  | rachelellen
238  | F | train-other-500  | 10.11 | Maria Elmvang
240  | M | train-clean-360  | 25.06 | Shurtagal
242  | F | train-clean-360  | 25.12 | Cagirlwithasoutherndrawl
243  | F | train-other-500  | 30.04 | Jennifer Stearns
245  | M | train-other-500  | 30.25 | Peter of Buckinghamshire England
246  | F | train-clean-360  | 22.43 | Beth Dudek
248  | F | train-clean-100  | 25.13 | Becky Miller
249  | M | train-clean-360  | 18.69 | pww214
250  | F | train-clean-100  | 25.16 | Mary Reagan
251  | M | dev-clean        | 8.04  | Mark Nelson
252  | M | train-other-500  | 30.26 | Rainer
253  | M | train-other-500  | 27.43 | Stefan Schmelz
254  | M | train-clean-100  | 25.06 | Alan Davis Drake (1945-2010)
255  | M | train-other-500  | 30.10 | Chris Hawk
258  | M | train-clean-360  | 24.53 | Kurt Wong
260  | M | test-clean       | 8.05  | Brad Bush
263  | M | train-other-500  | 16.03 | Michael Sirois
264  | M | train-other-500  | 22.55 | Chris Hughes
265  | M | train-other-500  | 10.38 | Janice
272  | M | train-clean-360  | 16.45 | Mr. Baby Man
273  | M | train-other-500  | 30.02 | Jim Cadwell
274  | F | train-clean-360  | 25.18 | Eileen George
277  | F | train-other-500  | 25.72 | Alessia
278  | F | train-clean-360  | 22.05 | AliceG
283  | M | train-other-500  | 15.42 | Asaf Bartov
288  | F | train-clean-360  | 25.13 | Bookworm
289  | F | train-clean-100  | 19.64 | Barbara Wedge
294  | F | train-other-500  | 20.51 | Calliope
296  | M | train-clean-360  | 25.16 | Carl Manchester
298  | F | train-clean-100  | 25.00 | Caroline Morse
302  | F | train-clean-100  | 25.04 | Chris Peterson
303  | M | train-clean-360  | 25.03 | Tony Hightower
307  | M | train-clean-100  | 25.11 | Randy Phillips
310  | F | train-other-500  | 25.15 | Dexnell Peters
311  | M | train-clean-100  | 25.17 | deadwhitemales
313  | F | train-other-500  | 30.03 | Dilini Jayasinghe
317  | M | train-other-500  | 28.14 | Mike Gardom
318  | F | train-clean-360  | 25.17 | Eileen aka e
319  | M | train-other-500  | 30.07 | Ed Good
322  | F | train-clean-100  | 25.20 | Elisabeth Shields
323  | F | train-clean-360  | 14.36 | Erica Kuntz
328  | F | train-clean-100  | 19.35 | Elizabeth Palmer
329  | M | train-clean-360  | 25.09 | Todd Cranston-Cuebas
331  | M | train-other-500  | 30.12 | Richard Grove
332  | M | train-clean-100  | 19.00 | Aaron Teiser
335  | M | train-clean-360  | 25.08 | Paul Harvey
336  | M | train-other-500  | 21.97 | Harvey Chinn
337  | F | train-clean-360  | 25.15 | Barbara Harvey
339  | F | train-clean-360  | 25.07 | Heather Ordover
340  | M | train-clean-360  | 25.17 | Scott Henkel
345  | M | train-clean-360  | 25.19 | Micah Sheppard
348  | M | train-other-500  | 30.02 | ianish
353  | M | train-clean-360  | 20.10 | Jamey Osborne
359  | M | train-clean-360  | 25.08 | John Nicholson
362  | F | train-clean-360  | 25.07 | Judith Brown
365  | M | train-other-500  | 30.01 | Jon Ingram
366  | F | train-other-500  | 30.12 | Katy Preston
367  | F | test-other       | 6.74  | Kathleen Dang
369  | M | train-clean-360  | 19.56 | Kevin Readdean
373  | F | train-clean-360  | 25.18 | Kim Braun
374  | M | train-clean-100  | 25.16 | kumarei
377  | M | train-other-500  | 21.39 | Lenny Glionna Jr.
380  | F | train-clean-360  | 25.15 | Laurie Campbell
392  | F | train-other-500  | 23.64 | Maria Celano
398  | M | train-clean-360  | 23.56 | James Smith
402  | F | train-other-500  | 30.19 | Sharmini Kumar
403  | F | train-clean-100  | 25.14 | Nocturna
404  | F | train-other-500  | 24.68 | Nomenphile
405  | M | train-clean-100  | 25.04 | Eric Dennison
408  | F | train-clean-360  | 25.17 | Claudine Chen
409  | M | train-clean-360  | 25.13 | Mike Kauffmann
412  | M | train-clean-100  | 22.38 | Brian Roberg
413  | M | train-other-500  | 19.72 | Daniel Watkins
421  | M | train-other-500  | 29.09 | Patrick
422  | M | dev-clean        | 8.38  | President Lethe
426  | F | train-clean-100  | 25.21 | Norah Piehl
428  | M | train-other-500  | 27.22 | Rayburn Beale
432  | M | train-other-500  | 30.10 | Steve Andersen
434  | F | train-clean-360  | 25.09 | Joyce Nussbaum
439  | M | train-clean-360  | 25.16 | Robert Garrison
441  | F | train-clean-100  | 25.19 | Sandra in Wales, United Kingdom
444  | F | train-other-500  | 28.32 | Sage Tyrtle
445  | M | train-clean-100  | 11.08 | Dave Foss
446  | M | train-clean-100  | 25.00 | Steve Hartzog
448  | F | train-other-500  | 23.84 | scrappylibrarian
451  | F | train-clean-360  | 22.93 | Sonserae Leese-Calver
453  | M | train-other-500  | 22.78 | Glen Hallstrom
454  | M | train-clean-360  | 25.20 | Tom Yates
458  | M | train-clean-100  | 17.30 | Scott Splavec
459  | M | train-clean-360  | 25.05 | Mark Bradford
460  | M | train-clean-100  | 25.23 | Dave Ranson
464  | M | train-clean-360  | 18.24 | Mike Wilson
466  | F | train-other-500  | 30.21 | Joy Chan
470  | M | train-other-500  | 30.06 | Chris Chapman
472  | F | train-clean-360  | 25.02 | Tina Tilney
474  | M | train-other-500  | 29.00 | Zachary Brewster-Geisz
475  | M | train-clean-360  | 23.95 | Jason X.
476  | M | train-clean-360  | 25.08 | Chuck Spann
479  | F | train-clean-360  | 25.00 | wedschild
480  | M | train-clean-360  | 25.13 | Chris Vee
481  | M | train-clean-100  | 25.08 | Neal Foley
483  | F | train-other-500  | 26.75 | junk science
487  | M | train-clean-360  | 17.12 | Clayton J. Smith
489  | F | train-other-500  | 26.53 | Tora
492  | M | train-clean-360  | 25.19 | TBOL3
497  | M | train-clean-360  | 25.00 | audiotoshokan
500  | M | train-clean-360  | 25.04 | galaxiant
501  | M | train-clean-360  | 25.06 | mikenkat
505  | M | train-other-500  | 29.49 | Menno
510  | M | train-clean-360  | 25.07 | Kirk Thomas
511  | M | train-clean-360  | 25.23 | Matthew Shepherd
512  | M | train-clean-360  | 25.12 | Anthony Craine
517  | M | train-other-500  | 23.59 | Matthew Walton
525  | F | train-clean-360  | 25.03 | Victoria Long
533  | F | test-other       | 10.05 | Ana Simao
534  | F | train-clean-360  | 25.01 | Jean O'Sullivan
542  | M | train-other-500  | 29.87 | J. Hall
543  | M | train-clean-360  | 25.10 | Ted Delorme
544  | M | train-other-500  | 25.89 | bozgeez
548  | M | train-clean-360  | 25.14 | Chris Mitchell
549  | F | train-clean-360  | 18.99 | SarahHadley
551  | M | train-other-500  | 30.20 | Guntar
557  | M | train-other-500  | 30.07 | fieldsofgold
559  | M | train-clean-360  | 25.16 | Bill Stackpole
561  | M | train-clean-360  | 24.78 | Quentin
567  | M | train-other-500  | 6.49  | Aaron Benedict
568  | M | train-other-500  | 30.21 | JD Weber
569  | M | train-other-500  | 8.36  | Frank
572  | M | train-other-500  | 29.18 | Rebecca Dittman
576  | F | train-clean-360  | 20.69 | Caroline Mercier
580  | M | train-clean-360  | 25.22 | Ryan
581  | M | train-clean-360  | 25.20 | C. Berrius
583  | M | train-clean-360  | 24.67 | Russ Maxwell
584  | F | train-other-500  | 30.10 | miette
585  | F | train-other-500  | 30.05 | pheo
587  | F | train-clean-100  | 25.20 | Joy Scaglione
589  | F | train-clean-360  | 25.01 | Stephanie Konig
593  | M | train-clean-360  | 24.55 | Eric S. Piotrowski
594  | M | train-clean-360  | 25.12 | KentF
596  | F | train-clean-360  | 25.00 | Carol Goode
597  | F | train-clean-360  | 25.25 | Lisa Chau
598  | F | train-clean-360  | 25.02 | Kim
606  | M | train-clean-360  | 25.02 | Julian Jamison
608  | F | train-other-500  | 30.09 | Baranduin
612  | F | train-clean-360  | 21.70 | Cindy Steib
613  | M | train-other-500  | 29.85 | D.E. Wittkower
614  | F | train-other-500  | 27.57 | Christine Blachford
622  | M | train-other-500  | 23.15 | Andrew Lebrun
625  | M | train-clean-100  | 25.01 | toriasuncle
636  | F | train-clean-360  | 25.03 | Zale Schafer (Rose May Chamberlin Memorial Foundat
637  | M | train-clean-360  | 25.11 | Michael Scherer
639  | M | train-clean-360  | 25.10 | Robert Beach
644  | M | train-other-500  | 30.17 | Daniele
652  | M | dev-clean        | 8.31  | Scott Walter
663  | M | train-clean-360  | 25.10 | Bruce Stafford
664  | F | train-clean-360  | 25.20 | Wendy G.
666  | F | train-clean-360  | 24.58 | Monique
667  | F | train-clean-360  | 25.04 | Bethany Simpson
669  | F | train-clean-100  | 25.17 | Anne
671  | M | train-clean-360  | 24.11 | koijmonop
672  | M | test-clean       | 8.27  | Taylor Burton-Edward
679  | M | train-other-500  | 13.04 | rhodian
681  | F | train-other-500  | 30.01 | Lucy Burgoyne
684  | F | train-other-500  | 30.04 | Lizzie Driver
688  | F | train-clean-360  | 25.19 | J. M. Smallheer
690  | F | train-other-500  | 22.10 | Silver
696  | F | train-clean-100  | 25.11 | Tamara R. Schwartz
698  | F | train-clean-360  | 25.03 | Randi Warwick
699  | F | train-clean-360  | 25.06 | Diana Kiesners
700  | F | dev-other        | 10.01 | Susan Hooks
705  | F | train-other-500  | 30.09 | eva
707  | M | train-clean-360  | 24.76 | Jason Mayoff
708  | M | train-clean-360  | 21.01 | Kevin Devine
711  | M | train-clean-360  | 25.13 | Roy Schreiber
712  | M | train-other-500  | 28.91 | Michael Shook
713  | F | train-other-500  | 25.71 | Onjana Yawnghwe
716  | M | train-clean-360  | 22.52 | martyd
718  | M | train-clean-360  | 25.08 | clarknova
720  | M | train-other-500  | 30.09 | Peter Gallagher
724  | M | train-clean-360  | 25.08 | Michael Crowl
726  | M | train-other-500  | 30.19 | Paul
727  | M | train-other-500  | 27.18 | Andrew Richards
728  | M | train-other-500  | 30.21 | Eric Connover
730  | F | train-clean-100  | 25.19 | Karen Labenz
731  | F | train-clean-360  | 25.14 | Megan-Jane Daniels Suyasu
737  | M | train-other-500  | 24.83 | Roger W. Barnett
742  | M | train-other-500  | 18.38 | Peter Groom
753  | M | train-other-500  | 26.92 | Tim Bulkeley
764  | M | train-clean-360  | 25.08 | Carl Vonnoh, III
766  | M | train-other-500  | 24.41 | Jean Crevier
770  | M | train-clean-360  | 25.00 | Justin S Barrett
774  | F | train-other-500  | 8.75  | Sara Walsh
777  | M | dev-clean        | 8.06  | fling93
778  | M | train-other-500  | 30.17 | Branko Collin
779  | M | train-other-500  | 30.09 | Greg
780  | M | train-other-500  | 24.65 | Lloyd Davis
781  | M | train-clean-360  | 25.12 | Mitchell Dwyer
782  | F | train-other-500  | 30.18 | Michele Pacey
783  | F | train-clean-360  | 23.98 | Gina
789  | F | train-other-500  | 17.71 | Eva
791  | M | train-other-500  | 27.56 | Ivan
792  | F | train-other-500  | 19.73 | mjd-s
797  | M | train-other-500  | 13.94 | Mike Shapiro
803  | M | train-clean-360  | 25.02 | Greg Elmensdorp
806  | M | train-clean-360  | 22.41 | Aaron Andradne
807  | M | train-other-500  | 25.31 | Luke Venediger
810  | M | train-other-500  | 21.54 | Joseph Loverti
811  | F | train-other-500  | 25.09 | Elizabeth
815  | M | train-clean-360  | 16.20 | mawrtea
816  | M | train-clean-360  | 23.23 | Jeff Robinson
820  | M | train-clean-360  | 24.64 | Scoot
826  | M | train-other-500  | 18.49 | Thomas Wells
829  | F | train-clean-360  | 25.14 | frenchfry
830  | F | train-clean-360  | 22.26 | sebrazer
831  | M | train-clean-100  | 25.22 | Nick Gallant
834  | F | train-clean-360  | 25.14 | nausicaa
835  | M | train-clean-360  | 18.61 | echo
836  | M | train-clean-360  | 25.01 | Kevin LaVergne
839  | M | train-clean-100  | 19.95 | rovert405
844  | F | train-other-500  | 27.30 | Martina
845  | M | train-other-500  | 11.71 | DaveF
846  | M | train-other-500  | 30.12 | Anadaxis_Canejia
850  | M | train-clean-360  | 22.03 | tonypettit
851  | M | train-other-500  | 9.02  | brenthumphries
868  | M | train-clean-360  | 25.07 | Mike Rosenlof
876  | F | train-other-500  | 22.85 | Alisha
882  | F | train-clean-360  | 24.14 | Mur Lafferty
884  | M | train-other-500  | 17.23 | sayeth
886  | M | train-other-500  | 24.31 | Paul S. Jenkins
887  | F | train-clean-100  | 25.11 | Lana Taylor
895  | M | train-other-500  | 15.01 | Max Porter Zasada
899  | M | train-clean-360  | 25.09 | thomahal
908  | M | test-clean       | 8.05  | Sam Stinson
909  | M | train-clean-100  | 25.00 | Greg Bryant
911  | M | train-clean-100  | 23.83 | frankjf
915  | M | train-other-500  | 21.21 | Ted Kaouk
920  | F | train-clean-360  | 21.36 | Sarah Bean
921  | M | train-other-500  | 29.10 | Brian J. Callaghan
922  | M | train-clean-360  | 25.07 | Steven H. Wilson
923  | F | train-other-500  | 21.33 | Layna
925  | F | train-clean-360  | 25.22 | pattymarie
927  | M | train-other-500  | 26.13 | Nerijus
937  | F | train-other-500  | 30.14 | Susie G.
948  | F | train-clean-360  | 25.13 | Chere Theriot
949  | M | train-clean-360  | 25.08 | ontheroad
951  | F | train-other-500  | 30.04 | thomasina
953  | M | train-clean-360  | 20.76 | Jim Mullins
954  | M | train-clean-360  | 14.44 | Brooks Seveer
956  | F | train-other-500  | 23.96 | krithiga
957  | M | train-clean-360  | 25.06 | iscatel
960  | F | train-other-500  | 27.55 | Marloes Schoonheim
964  | M | train-other-500  | 17.09 | Paul Sze
968  | F | train-clean-360  | 24.49 | Pat Elder
969  | M | train-other-500  | 30.10 | Czechchris
976  | F | train-other-500  | 30.11 | Alison Raouf
978  | M | train-other-500  | 27.56 | Rick Box
979  | F | train-clean-360  | 5.59  | Kelli Robinson
982  | M | train-other-500  | 22.28 | Mike Roop
984  | M | train-clean-360  | 23.39 | J A Carter
985  | M | train-other-500  | 30.05 | George Pilling
986  | M | train-clean-360  | 15.96 | Michael Kirkpatrick
1001 | M | train-clean-360  | 25.25 | Eric
1006 | F | train-other-500  | 30.00 | Marta Kornowska
1012 | F | train-clean-360  | 21.38 | Lizzie Oldfather
1018 | M | train-clean-360  | 25.07 | JimmyLogan
1025 | M | train-clean-360  | 22.99 | rdmagpie
1027 | M | train-clean-360  | 25.09 | Brooks Jensen
1028 | M | train-clean-360  | 25.03 | Tim Lundeen
1031 | F | train-clean-360  | 23.73 | swroot
1034 | M | train-clean-100  | 16.71 | Kevin O'Coin
1040 | M | train-clean-100  | 15.70 | John Garvin
1046 | M | train-clean-360  | 24.65 | durnburr
1049 | M | train-other-500  | 14.93 | Sam Fold
1050 | F | train-clean-360  | 25.04 | entada
1051 | F | train-other-500  | 28.33 | E. Moulton
1052 | F | train-clean-360  | 25.13 | Kathy Jacobs
1053 | F | train-clean-360  | 25.04 | katyleah
1054 | F | train-clean-360  | 24.80 | Igor Teaforay
1058 | M | train-clean-360  | 25.10 | James Tiley
1060 | F | train-clean-360  | 20.07 | Val Grimm
1061 | F | train-clean-360  | 25.14 | Missie
1065 | M | train-other-500  | 30.18 | Justin Brett
1066 | F | train-clean-360  | 25.20 | Laurie Anne Walden
1069 | F | train-clean-100  | 25.15 | Dawn
1079 | F | train-clean-360  | 21.26 | Mary aka Breadchick
1081 | M | train-clean-100  | 25.18 | Fracture
1084 | F | train-other-500  | 29.12 | Nichole Karl
1085 | M | train-other-500  | 30.24 | hefyd
1088 | F | train-clean-100  | 25.18 | Christabel
1089 | M | test-clean       | 8.05  | Peter Bobbe
1092 | F | train-other-500  | 30.17 | Maria
1093 | F | train-clean-360  | 25.11 | Kiki Baessell
1094 | M | train-other-500  | 30.03 | tubeyes
1096 | M | train-other-500  | 26.95 | Geoff Dugwyler
1097 | M | train-other-500  | 30.18 | Euthymius
1098 | F | train-clean-100  | 18.31 | Merryb
1100 | F | train-clean-360  | 23.87 | Danielle Flores
1107 | M | train-other-500  | 30.10 | Jason Oakley
1110 | M | train-other-500  | 24.85 | Graeme Jolliffe
1112 | M | train-clean-360  | 25.15 | RedToby
1116 | F | train-clean-100  | 25.12 | Megan Stemm-Wade
1121 | M | train-clean-360  | 25.12 | John Lieder
1124 | F | train-other-500  | 30.03 | Ancilla
1132 | M | train-other-500  | 30.04 | Giles Baker
1152 | F | train-other-500  | 28.04 | Millbeach
1154 | F | train-other-500  | 30.12 | Larysa Jaworski
1160 | M | train-clean-360  | 25.20 | Gary Gilberd
1161 | M | train-other-500  | 21.87 | Dominic Moore
1165 | M | train-clean-360  | 25.13 | Bob Graff
1166 | F | train-other-500  | 21.27 | Debra Lynn
1168 | F | train-other-500  | 21.61 | Ree
1171 | F | train-other-500  | 30.01 | Julia Claussen
1175 | M | train-clean-360  | 25.02 | Brother Patrick
1179 | M | train-other-500  | 28.84 | Alan Chant
1182 | M | train-clean-360  | 25.06 | Brett Condron
1183 | F | train-clean-100  | 9.72  | roolynninms
1184 | M | train-other-500  | 28.84 | Jeremy Pavier
1187 | M | train-other-500  | 30.02 | Paul Hansen
1188 | M | test-clean       | 8.20  | Duncan Murrell
1195 | F | train-clean-360  | 25.03 | Jennette Selig
1200 | M | train-other-500  | 30.04 | hosmer_angel
1212 | F | train-clean-360  | 25.07 | Lee Ann Howlett
1221 | F | test-clean       | 8.07  | Dianne
1222 | M | train-clean-360  | 25.12 | Joseph Ugoretz
1224 | F | train-clean-360  | 22.11 | Heather Duncan
1225 | M | train-other-500  | 30.08 | Chris Langston
1226 | M | train-clean-360  | 25.11 | Russ Lemker
1230 | M | train-other-500  | 30.03 | Ian Skillen
1235 | M | train-clean-100  | 25.09 | Tim Gregory
1239 | M | train-other-500  | 20.69 | Scott Robbins
1241 | F | train-clean-360  | 25.12 | Catherine Fitz
1246 | F | train-clean-100  | 25.09 | Sandra
1250 | F | train-other-500  | 30.23 | Christina Boyles
1252 | F | train-other-500  | 15.47 | Avery
1255 | M | dev-other        | 10.03 | Simon Evers
1258 | M | train-other-500  | 18.03 | Mellors
1259 | F | train-clean-360  | 25.12 | Elizabeth Klett
1260 | M | train-other-500  | 24.01 | Chris Hughes
1261 | M | train-other-500  | 21.04 | Mans Broo
1263 | F | train-clean-100  | 25.16 | Leonie Rose
1264 | M | train-clean-360  | 25.01 | Matthew Hinman
1265 | M | train-clean-360  | 25.18 | Edward Elmer
1266 | F | train-other-500  | 27.94 | Jenilee
1271 | M | train-clean-360  | 25.18 | Christian Pecaut
1272 | M | dev-clean        | 8.02  | John Rose
1274 | M | train-other-500  | 15.99 | Larry Gilman
1280 | M | train-other-500  | 23.94 | Tim Makarios
1283 | M | train-clean-360  | 24.22 | Paul Siegel
1284 | F | test-clean       | 8.16  | Daniel Anaya
1289 | F | train-clean-360  | 25.00 | Joanne Pauwels
1290 | F | train-clean-360  | 15.49 | librarianite
1291 | F | train-other-500  | 28.53 | Patti Brugman
1296 | F | train-clean-360  | 25.09 | Gigi Minden
1298 | F | train-other-500  | 30.03 | Wina Hathaway
1311 | M | train-clean-360  | 25.04 | Scott D. Farquhar
1313 | M | train-clean-360  | 25.18 | Scott Sherris
1316 | M | train-clean-360  | 25.04 | Estragon
1320 | M | test-clean       | 8.02  | number6
1322 | M | train-clean-360  | 25.17 | chris tierney
1323 | M | train-clean-360  | 25.08 | Leon Mire
1331 | M | train-other-500  | 28.73 | Adrian Praetzellis
1334 | M | train-clean-100  | 23.89 | John Schell
1335 | F | train-clean-360  | 25.08 | Clarica
1336 | M | train-clean-360  | 25.19 | Charlie Blakemore
1337 | M | train-clean-360  | 25.02 | Steven Rushing
1341 | M | train-other-500  | 28.77 | Coastalbloke
1342 | F | train-other-500  | 30.20 | SueAnn Dozier
1343 | F | train-clean-360  | 25.13 | Laura Koskinen
1347 | M | train-other-500  | 21.35 | Ted Nugent
1348 | F | train-clean-360  | 22.68 | Janet Friday
1349 | M | train-clean-360  | 25.14 | John Pruden
1353 | M | train-other-500  | 30.04 | Clarke Bell
1355 | M | train-clean-100  | 22.31 | Chris Gladis
1363 | F | train-clean-100  | 21.87 | Tammy Sanders
1365 | M | train-clean-360  | 25.19 | Joel Poortenga
1367 | M | train-other-500  | 30.12 | Joe Brenneman
1370 | F | train-other-500  | 19.78 | Lee Elliott
1373 | F | train-other-500  | 26.93 | Kira Belkin
1374 | M | train-other-500  | 17.76 | Graham Thomsen
1379 | M | train-clean-360  | 25.09 | Ken Crooker
1382 | F | train-clean-360  | 21.44 | Heather Lawrence
1383 | M | train-clean-360  | 23.92 | David Best
1384 | M | train-other-500  | 24.51 | Stephen Lamb
1387 | M | train-clean-360  | 25.05 | Scott Mather
1390 | F | train-clean-360  | 16.65 | C.L.Coney
